Time,Force,Jaw,Strain,Stress,TC1
(sec),(kN),(mm),,(MPa),(C)
6.6515000000000004,7.7926202,2.1055853,0.19318044000000001,81.959502999999998,849.63634999999999
6.6520000000000001,7.7351317000000002,2.1039848000000001,0.19256295000000001,81.267150999999998,849.67407000000003
6.6524999999999999,7.7195640000000001,2.1033124999999999,0.1928822,81.032454999999999,849.71178999999995
6.6529999999999996,7.7501559000000002,2.1118348,0.19348968999999999,81.115425000000002,849.74956999999995
6.6535000000000002,7.8821807000000002,2.1078296000000001,0.19306760000000001,82.648078999999996,849.78728999999998
6.6539999999999999,7.9579481999999997,2.1050567999999998,0.19324411,83.485825000000006,849.82501000000002
6.6544999999999996,7.9858855999999996,2.1089764,0.19302820000000001,83.811295000000001,849.86273000000006
6.6550000000000002,7.9843035000000002,2.1042869,0.19275106,83.860236999999998,849.90051000000005
6.6555,7.9767441999999997,2.1068614000000001,0.19338521,83.706764000000007,849.93822999999998
6.6559999999999997,7.9838332999999997,2.1092371999999999,0.19298578999999999,83.823120000000003,849.91931
6.6565000000000003,7.9896121000000004,2.1039165999999998,0.19284187,83.889708999999996,849.88629000000003
6.657,7.9902186000000004,2.1075146,0.19324928999999999,83.918685999999994,849.85326999999995
6.6574999999999998,7.9741892999999999,2.1074592999999999,0.19287145,83.696135999999996,849.82024999999999
6.6580000000000004,7.9764432999999997,2.1035609000000002,0.19296418000000001,83.702751000000006,849.78723000000002
6.6585000000000001,7.9840393000000001,2.1091402000000001,0.19315703000000001,83.783507999999998,849.75420999999994
6.6589999999999998,7.9809998999999996,2.1049302000000001,0.19278702,83.875549000000007,849.72118999999998
6.6595000000000004,7.9698772,2.1051530999999999,0.19321318000000001,83.653114000000002,849.68817000000001
6.66,7.2824140000000002,2.1138031000000002,0.19353585000000001,78.187881000000004,849.65515000000005
6.6604999999999999,7.5179876999999999,2.1121354000000001,0.19353909999999999,78.811745000000002,849.62212999999997
6.6609999999999996,7.9662113000000003,2.1116152000000001,0.19390947,83.149330000000006,849.58911000000001
6.6615000000000002,8.1753874,2.1068899999999999,0.19284719,85.698661999999999,849.55609000000004
6.6619999999999999,8.2465696000000008,2.1015823,0.19255319000000001,86.577254999999994,849.52306999999996
6.6624999999999996,8.2815446999999995,2.1086087,0.19318314,86.903107000000006,849.49010999999996
6.6630000000000003,8.2395315,2.1104622000000002,0.19310635000000001,86.716476,849.45708999999999
6.6635,8.0744237999999999,2.1068422999999998,0.19328703,84.836890999999994,849.42407000000003
6.6639999999999997,8.0054169000000002,2.1096059999999999,0.19323055,84.018517000000003,849.39104999999995
6.6645000000000003,8.0067616000000008,2.1044711999999999,0.19272020000000001,84.005058000000005,849.35802999999999
6.665,7.9944882000000002,2.1037037000000001,0.19310345000000001,83.961067,849.32501000000002
6.6654999999999998,7.9751190999999997,2.1084242,0.19299915000000001,83.742889000000005,849.29199000000006
6.6660000000000004,7.9708823999999998,2.1036858999999999,0.19270924,83.690392000000003,849.25269000000003
6.6665000000000001,7.9835339000000003,2.1062069000000001,0.19319727,83.766234999999995,849.21178999999995
6.6669999999999998,7.9842129000000002,2.1076383999999999,0.19277108000000001,83.852303000000006,849.17089999999996
6.6675000000000004,7.9745016,2.1030605000000002,0.19275276,83.731955999999997,849.13
6.6680000000000001,7.9573654999999999,2.1075368000000001,0.19318697000000001,83.511191999999994,849.08916999999997
6.6684999999999999,7.9711609000000001,2.1063755,0.19275381999999999,83.668777000000006,849.04827999999998
6.6689999999999996,7.9791713,2.1043742000000001,0.19302942000000001,83.756454000000005,849.00738999999999
6.6695000000000002,7.9660529999999996,2.1086630999999998,0.19302849,83.583382,848.96649000000002
6.67,8.5696487000000001,2.1105087,0.19328155,87.844254000000006,848.92560000000003
6.6704999999999997,8.4531384000000003,2.1147277,0.19416045000000001,88.564071999999996,848.88477
6.6710000000000003,8.0432147999999994,2.1160245,0.19379434000000001,84.726401999999993,848.84387000000004
6.6715,7.8195848000000003,2.10181,0.19259900999999999,82.291060999999999,848.80298000000005
6.6719999999999997,7.7411174999999997,2.1027950999999998,0.19290394999999999,81.285697999999996,848.76207999999997
6.6725000000000003,7.7232757000000003,2.107856,0.19282485999999999,81.091804999999994,848.72118999999998
6.673,7.7664885999999997,2.1064257999999998,0.19307199,81.270454000000001,848.68035999999995
6.6734999999999998,7.8962263999999998,2.1110343999999999,0.19350724,82.686783000000005,848.63946999999996
6.6740000000000004,7.9415889000000002,2.1075233999999998,0.19290462,83.334952999999999,848.59857
